product_id,name,imageURL,url,num_listings,lowest_price_with_shipping,market_price,latestChange,priceChange
610621,Glass Trumpet (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610621_200w.jpg,https://www.tcgplayer.com/product/610621/pokemon-sv-prismatic-evolutions-glass-trumpet-poke-ball-pattern,91.0,1.7,2.0556,2025-02-04 20:46:31,8.76%
610622,Haban Berry (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610622_200w.jpg,https://www.tcgplayer.com/product/610622/pokemon-sv-prismatic-evolutions-haban-berry-poke-ball-pattern,167.0,0.47,0.6204,2025-02-04 20:46:31,-12.62%
610623,Janine's Secret Art - 112/131 (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610623_200w.jpg,https://www.tcgplayer.com/product/610623/pokemon-sv-prismatic-evolutions-janines-secret-art-112-131-poke-ball-pattern,140.0,0.49,0.54,2025-02-04 20:46:31,-49.53%
610624,Kieran - 113/131 (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610624_200w.jpg,https://www.tcgplayer.com/product/610624/pokemon-sv-prismatic-evolutions-kieran-113-131-poke-ball-pattern,148.0,0.49,0.7936,2025-02-04 20:46:31,-17.33%
610625,Lacey - 114/131 (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610625_200w.jpg,https://www.tcgplayer.com/product/610625/pokemon-sv-prismatic-evolutions-lacey-114-131-poke-ball-pattern,179.0,0.5,0.85,2025-02-04 20:46:31,-47.2%
610626,Larry's Skill - 115/131 (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610626_200w.jpg,https://www.tcgplayer.com/product/610626/pokemon-sv-prismatic-evolutions-larrys-skill-115-131-poke-ball-pattern,146.0,0.44,0.66,2025-02-04 20:46:31,-4.35%
610627,Ogre's Mask (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610627_200w.jpg,https://www.tcgplayer.com/product/610627/pokemon-sv-prismatic-evolutions-ogres-mask-poke-ball-pattern,161.0,0.29,0.91,2025-02-04 20:46:31,-13.33%
610628,Professor Sada's Vitality (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610628_200w.jpg,https://www.tcgplayer.com/product/610628/pokemon-sv-prismatic-evolutions-professor-sadas-vitality-poke-ball-pattern,141.0,0.6,1.15,2025-02-04 20:46:31,-26.28%
610629,Professor Turo's Scenario (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610629_200w.jpg,https://www.tcgplayer.com/product/610629/pokemon-sv-prismatic-evolutions-professor-turos-scenario-poke-ball-pattern,98.0,0.28,0.59,2025-02-04 20:46:31,-24.36%
610630,Professor's Research [Professor Oak] (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610630_200w.jpg,https://www.tcgplayer.com/product/610630/pokemon-sv-prismatic-evolutions-professors-research-professor-oak-poke-ball-pattern,128.0,1.0,1.46,2025-02-04 20:46:31,-17.05%
610631,Professor's Research [Professor Elm] (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610631_200w.jpg,https://www.tcgplayer.com/product/610631/pokemon-sv-prismatic-evolutions-professors-research-professor-elm-poke-ball-pattern,164.0,0.94,1.37,2025-02-04 20:46:31,-36.57%
610632,Professor's Research [Professor Rowan] (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610632_200w.jpg,https://www.tcgplayer.com/product/610632/pokemon-sv-prismatic-evolutions-professors-research-professor-rowan-poke-ball-pattern,117.0,0.45,0.72,2025-02-04 20:46:31,-24.21%
610633,Professor's Research [Professor Sycamore] (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610633_200w.jpg,https://www.tcgplayer.com/product/610633/pokemon-sv-prismatic-evolutions-professors-research-professor-sycamore-poke-ball-pattern,110.0,0.85,0.98,2025-02-04 20:46:31,-1.01%
610634,Rescue Board (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610634_200w.jpg,https://www.tcgplayer.com/product/610634/pokemon-sv-prismatic-evolutions-rescue-board-poke-ball-pattern,177.0,0.54,0.91,2025-02-04 20:46:31,-30.0%
610635,Roto-Stick (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610635_200w.jpg,https://www.tcgplayer.com/product/610635/pokemon-sv-prismatic-evolutions-roto-stick-poke-ball-pattern,144.0,0.43,0.5712,2025-02-04 20:46:31,-32.0%
610636,Techno Radar (Poke Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610636_200w.jpg,https://www.tcgplayer.com/product/610636/pokemon-sv-prismatic-evolutions-techno-radar-poke-ball-pattern,126.0,0.44,0.71,2025-02-04 20:46:31,-7.79%
610637,Exeggcute (Master Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610637_200w.jpg,https://www.tcgplayer.com/product/610637/pokemon-sv-prismatic-evolutions-exeggcute-master-ball-pattern,85.0,6.96,9.03,2025-02-04 20:46:31,-45.73%
610638,Exeggutor (Master Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610638_200w.jpg,https://www.tcgplayer.com/product/610638/pokemon-sv-prismatic-evolutions-exeggutor-master-ball-pattern,36.0,10.5,11.51,2025-02-04 20:46:31,-32.49%
610639,Pinsir (Master Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610639_200w.jpg,https://www.tcgplayer.com/product/610639/pokemon-sv-prismatic-evolutions-pinsir-master-ball-pattern,97.0,7.19,8.47,2025-02-04 20:46:31,-48.23%
610640,Budew (Master Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610640_200w.jpg,https://www.tcgplayer.com/product/610640/pokemon-sv-prismatic-evolutions-budew-master-ball-pattern,45.0,25.99,25.79,2025-02-04 20:46:31,-8.48%
610641,Leafeon (Master Ball Pattern),https://tcgplayer-cdn.tcgplayer.com/product/610641_200w.jpg,https://www.tcgplayer.com/product/610641/pokemon-sv-prismatic-evolutions-leafeon-master-ball-pattern,28.0,55.0,63.46,2025-02-04 20:46:31,-11.03%
